subject,type,course,category,year,university,student_1,professor_1,professor_2,professor_3,moshaver_1,moshaver_2,moshaver_3
آنالیز گراف های حاصل از ساختار سه بعدی پروتئین های اکسترموفیل برای تشخیص و جدا سازی پروتئین های مختلف,پارسای داخل کشور,کارشناسی ارشد,N/A,1391,دانشگاه تهران، پردیس دانشکده‌های فنی - دانشکده علوم مهندسی,الهام نیکوکار,کامبیز‌‌‌‌‌‌‌‌‌‌‌‌‌‌ بدیع‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌,مهدی‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌ صادقی‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌,N/A,N/A,N/A,N/A
بررسی بیوانفورماتیکی خانواده‌ی ژنی عوامل رونویسی WRKY در گندم,پارسای داخل کشور,کارشناسی ارشد,کشاورزی، عمومی و میان رشته ای,1391,دانشگاه شاهد، دانشکده کشاورزی و منابع طبیعی,غفار خضری,امیرمحمد ناجی,زهراسادات شبر,N/A,رضا فتوت,N/A,N/A
شناسایی، توالی‌یابی و بررسی ویژگی‌های ایمونولوژیک یک پروتئین سطحی اختصاصی Acinetobacter baumannii با استفاده از ابزارهای بیوانفورماتیکی,پارسای داخل کشور,کارشناسی ارشد,زیست شناسی,1391,دانشگاه شاهد، دانشکده علوم,کبری احمدی زانوس,ایرج رسولی,N/A,N/A,N/A,N/A,N/A
پیش‌بینی کامپیوتری خصوصیات ضدباکتریایی پپتیدهای پروتئین P24 ویروس HIV-1 و بررسی تجربی آن,پارسای داخل کشور,کارشناسی ارشد,زیست فناوری و میکروبشناسی کاربردی,1391,دانشگاه اصفهان، دانشکده علوم,مائده خسرویان قادیکلایی,حسن محبت‌کار,N/A,N/A,ماندانا بهبهانی,مجید محمدبیگی,N/A
شناسایی و تشخیص ژن‌های miRNA در خانواده نشخوارکنندگان بر اساس روش‌های بیوانفورماتیکی و اعتبارسنجی آزمایشگاهی آن,پارسای داخل کشور,دکتری تخصصی (PhD),کشاورزی، علوم دامی و لبنیات,1391,دانشگاه فردوسی مشهد، دانشکده کشاورزی,بلال صادقی,محمدرضا نصیری,علی مسعودی‌نژاد,N/A,مجتبی طهمورث‌پور,حسام دهقانی,N/A
ارزیابی عملکرد روش های BLAST و H-Tuple در مقایسه توالی‌های زیستی با استفاده از منحنی ROC,پارسای داخل کشور,کارشناسی ارشد,آمار و احتمالات,1391,دانشگاه مازندران، دانشکده علوم پایه,موسی قهرمانزاده باروق,افشین فیاز موقر,N/A,N/A,مهرناز محمدپور,N/A,N/A
ارزیابی قابلیت اتصال nsLTP استخراج شده از برنج ایرانی به برخی از داروها و مولکول‌های چرب,پارسای داخل کشور,کارشناسی ارشد,زیست شناسی,1391,دانشگاه اصفهان، دانشکده علوم,مجتبی توشه,مهران میراولیایی,کامران قائدی,N/A,علی‌‌‌اصغر رستگاری,N/A,N/A
شناسایی و جداسازی mRNA ی ژن سیکلواکسیژناز-2 (Cyclooxygenase-2) در گیاه گندم و مقایسه توالی این ژن در گندم و انسان,پارسای داخل کشور,کارشناسی ارشد,زراعت,1391,دانشگاه محقق اردبیلی، دانشکده کشاورزی و منابع طبیعی,الناز نادری,اشرف محمدخانی,سدابه جهانبخش گده‌کهریز,N/A,علی عبادی,لیلا فرآورده,N/A
راهکار ترکیبی برای انتخاب ویژگی در داده‌های ابعاد بالا,پارسای داخل کشور,کارشناسی ارشد,علوم کامپیوتر، هوش مصنوعی,1391,دانشگاه کردستان، دانشکده فنی و مهندسی,محمدحسین دشتبان,پرهام مرادی,N/A,N/A,هادی زارع,N/A,N/A
کلونینگ و بیان ژن فیتاز (phyC) در اشرشیاکلی,پارسای داخل کشور,کارشناسی ارشد,ژنتیک و وراثت,1391,دانشگاه فردوسی مشهد، دانشکده کشاورزی و منابع طبیعی,حمید آریان‌نژاد,علی‌اصغر اسلمی‌نژاد,محمدرضا نصیری,N/A,احمد آسوده,حسام دهقانی,N/A
بررسی ژنومیکس کارکردی ویروس‌های موزائیک کوتولگی ذرت، موزائیک جنوبی مرغ، موزائیک رگه‌ای گندم و برهم‌کنش آنها با ژنوم گیاهی,پارسای داخل کشور,کارشناسی ارشد,زراعت,1391,دانشگاه شیراز، دانشکده کشاورزی و منابع طبیعی,نرجس راه‌پیما سروستانی,اسمایل ابراهیمی,محمود معصومی,N/A,منصور ابراهیمی,کرامت‌اله ایزدپناه,N/A
"تولید یک پروتئین کایمریک، متشکل از نواحی اتصال‌دهنده نروتوکسین بوتولینوم تیپ‌های A, B,E و مقایسه پتانسیل ایمنی‌زائی آن با شش نوع پپتید ایمنی‌زا در مدل حیوانی موشی",پارسای داخل کشور,دکتری تخصصی (PhD),بیوشیمی و زیست شناسی ملکولی,1391,دانشگاه تربیت مدرس,فیروز ابراهیمی,محمدجواد رسایی,سیدلطیف موسوی گرگری,N/A,ولی‌الله بابایی‌پور,N/A,N/A
بررسی زانتوموناس‌های همراه با بیماری لکه برگی و سرخشکیدگی درختان پسته در استان کرمان,پارسای داخل کشور,کارشناسی ارشد,علوم گیاهی,1391,دانشگاه شهید باهنر کرمان، دانشکده کشاورزی و منابع طبیعی,مریم خراسانی,اکبر حسینی‌پور,حشمت‌الله رحیمیان,N/A,حسین معصومی,N/A,N/A
مدل های گرافی از نوع کوانتومی,پارسای داخل کشور,کارشناسی ارشد,فیزیک عمومی و میان رشته ای,1391,دانشگاه تبریز، دانشکده فیزیک,فرزاد غفاری جونقانی,محمدعلی جعفری‌زاده,N/A,N/A,رحیمه صوفیانی,N/A,N/A
فیوژن ژنهای توکسین ε و β کلستریدیوم پرفرینجنز تیپ D وB و بیان آن در E. coli جهت مطالعه ایمونولوژیک,پارسای داخل کشور,دکتری تخصصی (PhD),زیست شناسی,1391,پژوهشگاه ملی مهندسی ژنتیک و زیست فناوری,رضا پیله‌چیان لنگرودی,مهدی شمس‌آرا,خسرو آقائی‌پور,N/A,N/A,N/A,N/A
طبقه‌بندی نوع و میزبان در ویروس آنفولانزا از روی توالی‌های ویروس,پارسای داخل کشور,کارشناسی ارشد,علوم کامپیوتر،‌مهندسی نرم افزار,1391,دانشگاه شیراز، دانشکده مهندسی برق و الکترونیک,مریم بهرامی دراسله,اشکان سامی,محمدهادی صدرالدینی,N/A,اسماعیل ابراهیمی,اقبال منصوری,N/A
دسته‌بندی داده‌های چند برچسبی با استفاده از سامانه‌های دسته‌بندی یادگیرنده,پارسای داخل کشور,کارشناسی ارشد,N/A,1391,دانشگاه شیراز، دانشکده مهندسی برق و الکترونیک,سیدکاوه احمدی ابهری,علی حمزه,ستار هاشمی,N/A,اقبال منصوری,شهرام جعفری,N/A
شناسایی، جداسازی، بررسی بیان، انتقال و خاموش‌سازی ژنهای القاشده در پاسخ به تنش خشکی در گیاه سورگوم Sorghum bicolor,پارسای داخل کشور,دکتری تخصصی (PhD),زراعت,1391,دانشگاه فردوسی مشهد، دانشکده کشاورزی,مهدی شاهسوند,حسن مرعشی,احمدرضا بهرامی,N/A,محمد فارسی,امین میرشمسی کاخکی,N/A
طراحی و ساخت آنتی‌ژن چند اپیتوپی تحریک کننده سلول‌های T بر علیه اکینوکوکوس گرانولوزوس و ارزیابی پاسخ ایمنی در موش,پارسای داخل کشور,دکتری تخصصی (PhD),ژنتیک و وراثت,1391,پژوهشگاه ملی مهندسی ژنتیک و زیست فناوری,مجید اسمعیلی‌زاد,خسرو آقائی‌پور کلیانی,غلامرضا احمدیان,N/A,حبیب‌الله پایکاری,مهدی شمس‌آرا,N/A
شناسایی سرطان با استفاده از الگوریتم‌های یادگیری ماشین و هوش محاسباتی,پارسای داخل کشور,کارشناسی ارشد,علوم کامپیوتر، هوش مصنوعی,1391,دانشگاه شهید چمران اهواز، دانشکده مهندسی,هادی تجلی‌زاده,علیرضا عصاره,N/A,N/A,بیتا شادگار,N/A,N/A
یافتن SNP های شاخص با استفاده از الگوریتم جستجوی هارمونی,پارسای داخل کشور,کارشناسی ارشد,N/A,1391,دانشگاه تهران، پردیس علوم - دانشکده فیزیک,فاطمه بهجتی اردکانی,محمد‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌ گنج تابش‌‌‌‌‌‌‌‌‌‌‌‌,N/A,N/A,N/A,N/A,N/A
مطالعه دو بیماری مخرب دستگاه عصبی: گلوکوم ؛بررسی اثر فاکتورهای رونویسی FOXC1و PITX2 بر راه انداز ژن های هدف پارکینسون غربالگری جهش در ژن PARK7 (DJ-1) در بیماران مبتلا با بروز اولین علائم در بازه ی سنی 31 تا 40 سال,پارسای داخل کشور,کارشناسی ارشد,N/A,1391,دانشگاه تهران، پردیس‌های منطقه‌ای - پردیس بین‌المللی کیش,احمد صدیقی گیلانی,الهه‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌ الهی‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌,N/A,N/A,N/A,N/A,N/A
جداسازی، شناسایی مولکولی و تعیین خصوصیات بیولومینسانس باکتریهای ویبریو استخر میگوهای پرورشی خلیج فارس,پارسای داخل کشور,کارشناسی ارشد,زیست شناسی سلولی,1391,دانشگاه فردوسی مشهد، دانشکده علوم پایه,ام‌البنین خالدی,منصور مشرقی,سیدجواد حسینی,N/A,بهار شهنواز,جمیل واعظی,N/A
طراحی ساختاری آنالوگ‌های پایدار آلیسین و بررسی میانکنش آن با آنزیم گلوتاتیون S-‌ ترانسفراز و آنزیم‌های گروه سیتوکروم P450,پارسای داخل کشور,کارشناسی ارشد,دارو شناسی و دارو سازی,1391,دانشگاه پیام نور استان تهران، مرکز پیام نور تهران,نداسادات واقفی‌نژاد,مصطفی قادری زفره‌ای,N/A,N/A,محمدعلی ابراهیمی,N/A,N/A
پیش‌بینی مکان استقرار درون‌هسته‌ای پروتئین‌ها با استفاده از سیستم ایمنی مصنوعی,پارسای داخل کشور,کارشناسی ارشد,زیست شناسی,1391,پژوهشگاه ملی مهندسی ژنتیک و زیست فناوری,زینب پیریایی,مهدی صادقی,N/A,N/A,N/A,N/A,N/A
مطالعه فیلوژنتیکی و الگوی بیان ژن CEL II در گیاه کرفس بومی ایران,پارسای داخل کشور,کارشناسی ارشد,زیست شناسی,1391,دانشگاه فردوسی مشهد، دانشکده علوم پایه,آتنا حلمی لایین,احمدرضا بهرامی,جعفر ذوالعلی,N/A,مریم مقدم‌متین,امین میرشمسی,N/A
راه‌کارهای به کارگیری سرویس‌های مبتنی بر موبایل برای ارائه خدمات سلامت الکترونیکی در ایران,پارسای داخل کشور,کارشناسی ارشد,فناوری اطلاعات,1391,دانشگاه علامه طباطبائی، دانشکده مدیریت و حسابداری,سمیه عابدیان,پیام حنفی‌زاده,N/A,N/A,احسان بیطرف,N/A,N/A
